id_,chance_of_playing_next_round,chance_of_playing_this_round,code,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall,dreamteam_count,element_type,ep_next,ep_this,event_points,first_name,form,in_dreamteam,news,news_added,now_cost,photo,points_per_game,second_name,selected_by_percent,special,squad_number,status,team,team_code,total_points,transfers_in,transfers_in_event,transfers_out,transfers_out_event,value_form,value_season,web_name,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,influence_rank,influence_rank_type,creativity_rank,creativity_rank_type,threat_rank,threat_rank_type,ict_index_rank,ict_index_rank_type
191,100.0,100.0,118748,0,0,2,-2,6,3,0.0,0.0,0,Mohamed,0.0,True,,2019-11-12T23:00:18.865321Z,127,118748.jpg,7.2,Salah,43.6,False,,a,10,14,186,3426342,126,3181037,382,0.0,14.6,Salah,2243,16,6,14,15,0,0,0,1,0,0,23,541,834.4,637.9,1618.0,308.9,3,2,17,14,1,1,2,2
215,100.0,100.0,61366,0,0,11,-11,6,3,0.0,0.0,0,Kevin,0.0,True,,2020-03-04T22:30:16.371900Z,106,61366.jpg,6.8,De Bruyne,45.7,False,,a,11,43,178,5250682,629,3370721,142,0.0,16.8,De Bruyne,2148,8,18,12,20,0,0,0,2,0,0,23,715,955.4,1457.9,745.0,316.0,1,1,1,1,28,12,1,1
192,100.0,100.0,110979,0,0,10,-10,7,3,0.0,0.0,0,Sadio,0.0,True,,2020-01-23T22:00:20.209143Z,125,110979.jpg,6.7,Mané,25.1,False,,a,10,14,175,4117985,392,3497920,178,0.0,14.0,Mané,2077,14,9,9,18,0,0,0,2,0,0,22,520,791.6,580.8,970.0,234.4,7,3,23,19,15,4,8,5
166,100.0,100.0,101668,0,0,7,-7,7,4,0.0,0.0,0,Jamie,0.0,True,,2020-03-12T16:00:18.992810Z,97,101668.jpg,6.4,Vardy,29.8,False,,a,9,13,167,4600669,557,3358215,432,0.0,17.2,Vardy,2222,19,6,8,25,0,0,1,2,0,0,27,615,817.6,228.9,958.0,199.7,5,1,139,23,18,14,18,7
182,100.0,100.0,169187,0,0,8,-8,6,2,0.0,0.0,0,Trent,0.0,True,,2019-10-22T15:00:19.720774Z,78,169187.jpg,5.7,Alexander-Arnold,44.6,False,,a,10,14,166,2770839,151,1301449,223,0.0,21.3,Alexander-Arnold,2549,2,14,11,21,0,0,0,4,0,0,18,727,822.2,1169.3,353.0,234.5,4,1,3,1,82,8,7,1
11,100.0,100.0,54694,0,0,1,-1,3,4,0.0,0.0,0,Pierre-Emerick,0.0,True,,2020-01-08T14:00:18.333339Z,111,54694.jpg,5.8,Aubameyang,27.5,False,,a,1,3,152,3118426,216,2986462,952,0.0,13.7,Aubameyang,2303,17,3,7,33,0,0,0,3,1,0,29,601,742.8,383.2,985.0,210.9,11,2,64,4,13,10,11,3
409,100.0,100.0,102057,0,0,6,-6,2,4,0.0,0.0,0,Raúl,0.0,True,,2019-11-10T16:00:17.735784Z,81,102057.jpg,5.1,Jiménez,32.8,False,,a,20,39,147,3707605,428,2777340,529,0.0,18.1,Jiménez,2458,13,6,9,31,0,0,0,3,0,0,23,520,723.4,560.6,1364.0,264.2,14,3,27,2,3,2,3,1
183,100.0,100.0,97032,0,0,0,0,2,2,0.0,0.0,0,Virgil,0.0,True,,2019-10-27T20:00:16.725016Z,65,97032.jpg,4.9,van Dijk,44.4,False,,a,10,14,141,1743528,258,2262119,285,0.0,21.7,van Dijk,2610,4,1,12,21,0,0,0,1,0,0,12,631,739.0,116.2,355.0,120.9,12,2,232,61,81,7,67,8
313,,,84939,0,0,11,-11,2,4,0.0,0.0,0,Danny,0.0,False,,,71,84939.jpg,4.8,Ings,29.3,False,,a,16,20,140,3507971,202,1581938,1101,0.0,19.7,Ings,1993,15,1,3,36,0,0,0,2,0,0,28,513,678.0,268.9,1135.0,208.1,19,4,110,15,6,4,12,4
181,100.0,100.0,122798,0,0,0,0,1,2,0.0,0.0,0,Andrew,0.0,True,,2020-03-07T14:30:16.708069Z,70,122798.jpg,4.9,Robertson,19.8,False,,a,10,14,137,1334996,125,2039256,289,0.0,19.6,Robertson,2443,1,7,11,20,0,0,0,1,0,0,15,641,619.4,708.4,304.0,163.3,32,9,12,3,101,11,37,3
233,75.0,75.0,176297,0,0,3,-3,4,4,0.0,0.0,0,Marcus,0.0,False,Lack of match fitness - 75% chance of playing,2020-01-11T22:00:19.929400Z,88,176297.jpg,6.1,Rashford,9.5,False,,d,12,1,134,2970829,840,3713194,45,0.0,15.2,Rashford,1876,14,5,4,23,0,0,2,2,0,0,26,494,677.0,379.4,965.0,202.3,20,5,67,5,16,12,16,6
150,100.0,100.0,212319,0,0,3,-3,2,3,0.0,0.0,0,Richarlison,0.0,True,,2020-01-17T14:00:19.894274Z,83,212319.jpg,4.9,de Andrade,12.4,False,,a,8,11,133,2124694,343,1889577,279,0.0,16.0,Richarlison,2352,10,5,6,42,0,0,0,5,0,0,13,428,688.8,438.3,1025.0,215.4,16,4,44,33,11,3,10,7
460,100.0,100.0,173879,0,0,5,-5,4,4,0.0,0.0,0,Tammy,0.0,False,,2020-02-28T14:00:22.022949Z,75,173879.jpg,5.2,Abraham,14.7,False,,a,6,8,131,5412045,579,4828835,56,0.0,17.5,Abraham,1930,13,5,7,27,1,0,0,2,0,0,20,396,581.2,265.7,1077.0,191.5,43,8,112,16,10,8,24,11
187,,,92217,0,0,0,0,2,4,0.0,0.0,0,Roberto,0.0,False,,,95,92217.jpg,4.5,Firmino,14.9,False,,a,10,14,130,2093827,86,1863474,281,0.0,13.7,Firmino,2410,8,8,14,16,0,0,0,0,0,0,18,500,626.8,535.2,1392.0,255.6,30,7,30,3,2,1,4,2
93,100.0,100.0,98747,0,0,4,-4,1,1,0.0,0.0,0,Nick,0.0,True,,2019-07-31T00:00:11.182051Z,49,98747.jpg,4.4,Pope,18.8,False,,a,5,90,128,1675413,689,813514,99,0.0,26.1,Pope,2610,0,0,11,40,0,1,0,0,0,89,17,598,671.6,30.3,2.0,70.3,21,8,349,1,425,3,177,8
297,100.0,100.0,153723,0,0,9,-9,5,2,0.0,0.0,0,John,0.0,False,,2019-12-29T18:30:20.904666Z,49,153723.jpg,4.7,Lundstram,39.1,False,,a,15,49,128,3705397,384,1593047,155,0.0,26.1,Lundstram,2065,4,4,9,20,0,0,0,4,0,0,15,463,421.4,345.2,393.0,116.3,119,45,76,13,70,3,72,9
278,100.0,100.0,57127,0,0,0,0,2,4,0.0,0.0,0,Teemu,0.0,False,,2020-03-03T15:00:27.073569Z,65,57127.jpg,4.5,Pukki,12.8,False,,a,14,45,127,3824329,72,3506035,68,0.0,19.5,Pukki,2481,11,3,6,47,0,0,0,3,0,0,21,415,537.0,335.0,1129.0,199.5,57,9,82,10,8,6,19,8
